epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.868,1.25198,1.54854,1.1539,0.73891,0.61712,0.64725,0.30141,1.68665,1.16016,1.21736,0.00333124,0.00333124,0.00333124
2,599,1.25914,0.80942,1.14487,0.72049,0.57519,0.62246,0.27068,1.76193,1.24608,1.2419,0.00660959,0.00660959,0.00660959
3,874.816,1.29157,0.79731,1.18248,0.67965,0.5321,0.56956,0.26857,1.76964,1.32906,1.32864,0.00983294,0.00983294,0.00983294
4,1180.37,1.29392,0.77788,1.19982,0.6621,0.58741,0.61636,0.28251,1.74989,1.13416,1.30223,0.0097525,0.0097525,0.0097525
5,1478.17,1.26233,0.71913,1.18577,0.77811,0.65035,0.6879,0.32198,1.68917,1.04729,1.27721,0.00967,0.00967,0.00967
6,1774.83,1.23717,0.67942,1.17136,0.79413,0.64844,0.7068,0.34189,1.63691,1.01312,1.22533,0.0095875,0.0095875,0.0095875
7,2074.19,1.21936,0.65651,1.15839,0.79515,0.65888,0.71602,0.3393,1.63669,0.97484,1.22117,0.009505,0.009505,0.009505
8,2372.48,1.2106,0.6407,1.1547,0.79834,0.68455,0.72578,0.36596,1.57597,0.93989,1.20285,0.0094225,0.0094225,0.0094225
9,2669.13,1.19824,0.62405,1.14684,0.8264,0.67578,0.74046,0.36563,1.57502,0.94189,1.18362,0.00934,0.00934,0.00934
10,2966.52,1.18664,0.61135,1.14175,0.82687,0.70884,0.77215,0.39504,1.51018,0.88272,1.16411,0.0092575,0.0092575,0.0092575
11,3278.43,1.18232,0.60337,1.1382,0.83627,0.70439,0.76197,0.38593,1.51609,0.88824,1.16749,0.009175,0.009175,0.009175
12,3576.29,1.17517,0.59408,1.12965,0.84594,0.72791,0.77461,0.39622,1.52059,0.85652,1.16221,0.0090925,0.0090925,0.0090925
13,3873.3,1.17293,0.5857,1.12772,0.84389,0.72854,0.78324,0.39745,1.53517,0.83592,1.16714,0.00901,0.00901,0.00901
14,4155.27,1.16292,0.58033,1.12426,0.82757,0.74253,0.78063,0.39987,1.51096,0.81924,1.15004,0.0089275,0.0089275,0.0089275
15,4420.98,1.1595,0.5728,1.121,0.82256,0.75149,0.79409,0.4142,1.4877,0.79345,1.1395,0.008845,0.008845,0.008845
16,4674.59,1.15447,0.56841,1.11877,0.85166,0.75524,0.80386,0.41459,1.49749,0.78118,1.14916,0.0087625,0.0087625,0.0087625
17,4938.88,1.15175,0.56617,1.11875,0.83985,0.74952,0.80061,0.41494,1.4859,0.78366,1.15145,0.00868,0.00868,0.00868
18,5247.71,1.14354,0.55673,1.11498,0.84546,0.75779,0.79585,0.41401,1.47716,0.78252,1.14792,0.0085975,0.0085975,0.0085975
