epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,478.574,1.24469,0.98411,1.13923,0.814,0.42861,0.51094,0.26413,1.94246,1.50164,0.96165,0.00333128,0.00333128,0.00333128
2,975.691,1.25124,0.69551,1.13261,0.69154,0.39691,0.43208,0.21594,2.11648,1.51331,0.9684,0.00662062,0.00662062,0.00662062
3,1472.55,1.29452,0.76557,1.17132,0.78676,0.37629,0.43892,0.19533,2.2696,1.75099,1.01933,0.00986597,0.00986597,0.00986597
4,1968.81,1.28902,0.76444,1.18938,0.84393,0.43814,0.48356,0.23597,2.09639,1.54302,0.97199,0.009802,0.009802,0.009802
5,2444.22,1.25476,0.70382,1.17433,0.77885,0.43569,0.53597,0.24696,1.95524,1.33737,0.95393,0.009736,0.009736,0.009736
6,2889.19,1.22949,0.66548,1.15644,0.88619,0.44845,0.55836,0.2971,1.79718,1.28874,0.92456,0.00967,0.00967,0.00967
7,3333.9,1.21954,0.645,1.15198,0.76245,0.53093,0.61699,0.33212,1.80574,1.18349,0.92008,0.009604,0.009604,0.009604
8,3778.31,1.19885,0.62063,1.13838,0.69822,0.53093,0.6047,0.31141,1.78283,1.16341,0.90727,0.009538,0.009538,0.009538
9,4223.04,1.19271,0.60976,1.131,0.78208,0.59199,0.657,0.35325,1.73869,1.10549,0.89596,0.009472,0.009472,0.009472
10,4667.59,1.17995,0.59372,1.12909,0.85524,0.55155,0.64833,0.34848,1.69814,1.12745,0.89516,0.009406,0.009406,0.009406
11,5112.84,1.17112,0.58451,1.11877,0.85509,0.53608,0.66697,0.359,1.58121,1.09821,0.88845,0.00934,0.00934,0.00934
12,5557.34,1.16152,0.57348,1.11812,0.7503,0.63505,0.68105,0.35681,1.66975,1.0421,0.89049,0.009274,0.009274,0.009274
13,6001.95,1.16039,0.56965,1.11628,0.83445,0.59278,0.67447,0.37943,1.62371,1.03211,0.88549,0.009208,0.009208,0.009208
14,6449.41,1.15675,0.56385,1.11075,0.82336,0.64948,0.71101,0.38442,1.56282,0.9887,0.87993,0.009142,0.009142,0.009142
15,6894.76,1.14713,0.55567,1.10721,0.80726,0.63918,0.71066,0.40203,1.55504,1.02897,0.87636,0.009076,0.009076,0.009076
16,7339.92,1.14196,0.55288,1.10227,0.8131,0.64948,0.71238,0.38019,1.55449,0.98611,0.87397,0.00901,0.00901,0.00901
17,7786.49,1.14315,0.54829,1.10206,0.91156,0.59794,0.71866,0.39323,1.566,0.96213,0.86852,0.008944,0.008944,0.008944
18,8231.74,1.13296,0.54008,1.10012,0.84452,0.69072,0.7484,0.40302,1.54234,0.97912,0.86916,0.008878,0.008878,0.008878
19,8676.91,1.131,0.53545,1.09786,0.86374,0.62085,0.73886,0.40457,1.52243,0.95893,0.86689,0.008812,0.008812,0.008812
20,9122.04,1.13488,0.53677,1.1015,0.86719,0.6701,0.74529,0.41258,1.493,0.92029,0.86755,0.008746,0.008746,0.008746
21,9567.5,1.12951,0.53238,1.09989,0.86343,0.68437,0.75192,0.42596,1.46463,0.90616,0.86418,0.00868,0.00868,0.00868
22,10012.5,1.12467,0.53135,1.09697,0.85869,0.71134,0.77936,0.43538,1.47729,0.89814,0.86411,0.008614,0.008614,0.008614
23,10457.9,1.11707,0.5256,1.09152,0.90531,0.69588,0.7663,0.42639,1.50196,0.90736,0.86459,0.008548,0.008548,0.008548
24,10902.9,1.11084,0.51942,1.09299,0.85968,0.69479,0.76225,0.4285,1.43784,0.88218,0.86477,0.008482,0.008482,0.008482
25,11347.8,1.11169,0.51745,1.08691,0.83597,0.70619,0.77091,0.43323,1.43193,0.85734,0.86049,0.008416,0.008416,0.008416
26,11793,1.11338,0.51594,1.09021,0.83707,0.70619,0.77953,0.43776,1.40653,0.86246,0.85758,0.00835,0.00835,0.00835
27,12238.5,1.10972,0.51706,1.08783,0.84263,0.73196,0.77683,0.43614,1.43958,0.85286,0.85883,0.008284,0.008284,0.008284
28,12683.5,1.10833,0.51225,1.08605,0.85309,0.74227,0.79868,0.43433,1.45022,0.82794,0.85736,0.008218,0.008218,0.008218
29,13128.7,1.10598,0.51114,1.08777,0.83592,0.71649,0.78595,0.42856,1.47703,0.84887,0.86113,0.008152,0.008152,0.008152
30,13574.3,1.09646,0.50461,1.08293,0.85143,0.70619,0.7801,0.43085,1.47651,0.86322,0.86294,0.008086,0.008086,0.008086
31,14019.6,1.09644,0.50704,1.07991,0.87614,0.71649,0.78658,0.43233,1.49355,0.83723,0.86339,0.00802,0.00802,0.00802
32,14464.6,1.09231,0.50198,1.08188,0.84614,0.70103,0.77919,0.43064,1.47417,0.84469,0.86161,0.007954,0.007954,0.007954
33,14909.8,1.09823,0.50417,1.08208,0.93399,0.65637,0.78021,0.43216,1.46497,0.82362,0.86165,0.007888,0.007888,0.007888
34,15354.7,1.09614,0.50013,1.08326,0.89069,0.66495,0.78081,0.43238,1.45079,0.81192,0.86012,0.007822,0.007822,0.007822
35,15800,1.09109,0.49847,1.07883,0.85766,0.71439,0.79023,0.43814,1.45421,0.8105,0.86113,0.007756,0.007756,0.007756
36,16245.4,1.09136,0.49667,1.08016,0.85383,0.72265,0.79075,0.43749,1.4377,0.806,0.86082,0.00769,0.00769,0.00769
37,16691,1.08808,0.49366,1.0802,0.87113,0.72165,0.78905,0.43662,1.42865,0.80327,0.86061,0.007624,0.007624,0.007624
38,17136.1,1.08501,0.49366,1.07778,0.88471,0.71198,0.78993,0.4337,1.44189,0.79743,0.86064,0.007558,0.007558,0.007558
39,17580.9,1.08653,0.49324,1.07851,0.88595,0.71134,0.79244,0.42938,1.4376,0.80092,0.8611,0.007492,0.007492,0.007492
40,18026.3,1.08271,0.49078,1.07705,0.87926,0.71323,0.79182,0.43532,1.43092,0.80235,0.85985,0.007426,0.007426,0.007426
