epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3841,0.88015,3.44538,1.26487,0.00646,0.81766,0.2202,0.17495,0.87788,3.31261,1.12851,0.000272222,0.000272222,0.000272222
2,22.8343,0.94964,2.55884,1.28941,0.44831,0.34317,0.37002,0.24974,1.06255,2.3895,1.3097,0.000544445,0.000544445,0.000544445
3,32.1163,1.00396,2.16634,1.31202,0.37103,0.29584,0.25382,0.15781,1.19116,3.21425,1.58324,0.00081117,0.00081117,0.00081117
4,41.3511,1.01236,2.06937,1.33395,0.41745,0.25917,0.2628,0.15963,1.31792,2.79843,1.61109,0.00080826,0.00080826,0.00080826
5,50.666,1.00131,1.88675,1.31369,0.46239,0.45304,0.41898,0.27761,1.10817,1.95795,1.39145,0.000800013,0.000800013,0.000800013
6,59.9487,0.98098,1.81053,1.29352,0.42275,0.57598,0.52764,0.35159,1.14858,1.76983,1.38723,0.000791767,0.000791767,0.000791767
7,69.233,0.98473,1.73662,1.30141,0.48265,0.6192,0.59645,0.40459,1.05106,1.68191,1.31124,0.00078352,0.00078352,0.00078352
8,78.4148,0.93669,1.63332,1.26917,0.6368,0.50825,0.56936,0.37405,1.16112,1.54677,1.39491,0.000775273,0.000775273,0.000775273
9,87.6321,0.92253,1.54726,1.24842,0.58211,0.54207,0.61042,0.42692,1.03689,1.52849,1.29856,0.000767026,0.000767026,0.000767026
10,96.7973,0.92087,1.49588,1.25402,0.60613,0.5565,0.61869,0.4411,1.05186,1.50234,1.31871,0.00075878,0.00075878,0.00075878
11,106.024,0.91646,1.47219,1.26004,0.6231,0.58606,0.63751,0.46119,1.0391,1.54906,1.29696,0.000750533,0.000750533,0.000750533
12,115.277,0.91133,1.42256,1.25992,0.63037,0.53831,0.63506,0.4298,1.07167,1.61976,1.33607,0.000742286,0.000742286,0.000742286
13,124.463,0.88286,1.33759,1.22119,0.6845,0.56271,0.64442,0.43498,1.14755,1.54603,1.39295,0.00073404,0.00073404,0.00073404
14,133.664,0.88248,1.32421,1.22081,0.67331,0.60477,0.68675,0.48891,1.02615,1.3618,1.24865,0.000725793,0.000725793,0.000725793
15,142.877,0.8686,1.25114,1.22124,0.70183,0.58202,0.65715,0.46313,1.08939,1.39295,1.33076,0.000717546,0.000717546,0.000717546
16,152.106,0.8829,1.2547,1.23723,0.71903,0.5962,0.68836,0.50161,1.01808,1.26157,1.26944,0.000709299,0.000709299,0.000709299
17,161.279,0.86598,1.19612,1.20285,0.75237,0.58309,0.69905,0.51191,1.016,1.27166,1.26674,0.000701053,0.000701053,0.000701053
18,170.466,0.83722,1.147,1.19657,0.65083,0.65589,0.70235,0.52353,0.98211,1.26968,1.24546,0.000692806,0.000692806,0.000692806
19,179.747,0.82953,1.08375,1.17908,0.72788,0.66632,0.73025,0.55161,0.92292,1.12995,1.20468,0.000684559,0.000684559,0.000684559
20,188.995,0.82618,1.11728,1.19046,0.76762,0.6728,0.73531,0.5405,0.99791,1.14738,1.24931,0.000676313,0.000676313,0.000676313
21,198.153,0.81714,1.1027,1.19359,0.67874,0.69672,0.72168,0.53129,0.97064,1.15241,1.21996,0.000668066,0.000668066,0.000668066
22,207.274,0.82025,1.08305,1.18049,0.74488,0.68529,0.74902,0.5427,0.98766,1.09078,1.24688,0.000659819,0.000659819,0.000659819
23,216.374,0.81609,1.04176,1.18438,0.76054,0.61984,0.71279,0.51352,1.06735,1.22052,1.35934,0.000651573,0.000651573,0.000651573
24,225.458,0.78849,0.99861,1.16174,0.72919,0.55993,0.69431,0.50847,1.0034,1.30473,1.25091,0.000643326,0.000643326,0.000643326
25,234.59,0.79291,0.99576,1.15476,0.77798,0.63655,0.74628,0.54664,0.9708,1.09035,1.23795,0.000635079,0.000635079,0.000635079
26,243.711,0.78627,0.97357,1.15821,0.71487,0.74507,0.78344,0.59769,0.89356,0.98717,1.19547,0.000626832,0.000626832,0.000626832
27,252.888,0.78136,0.97151,1.15566,0.71857,0.72304,0.77267,0.57463,0.93598,1.02594,1.20528,0.000618586,0.000618586,0.000618586
28,262.056,0.78252,0.93366,1.15051,0.83568,0.66806,0.77585,0.5761,0.94002,0.99276,1.19086,0.000610339,0.000610339,0.000610339
29,271.222,0.74147,0.9068,1.13391,0.79848,0.71367,0.79144,0.60068,0.9074,0.94702,1.17684,0.000602092,0.000602092,0.000602092
30,280.348,0.74096,0.88474,1.13373,0.75381,0.67984,0.75536,0.56005,0.96578,1.03471,1.22486,0.000593846,0.000593846,0.000593846
31,289.471,0.76346,0.90168,1.15744,0.75528,0.68374,0.74279,0.56495,0.93722,1.07418,1.19778,0.000585599,0.000585599,0.000585599
32,298.587,0.72793,0.84996,1.12968,0.73842,0.69819,0.74854,0.56644,0.91866,1.07509,1.1644,0.000577352,0.000577352,0.000577352
33,307.754,0.73242,0.89524,1.11296,0.81701,0.70325,0.80427,0.61498,0.86964,0.92233,1.12856,0.000569106,0.000569106,0.000569106
34,316.887,0.74232,0.84128,1.12823,0.78826,0.67426,0.77955,0.58981,0.89159,0.99117,1.16393,0.000560859,0.000560859,0.000560859
35,326.053,0.72813,0.81808,1.11414,0.84042,0.6989,0.78814,0.61419,0.86147,0.95073,1.13268,0.000552612,0.000552612,0.000552612
36,335.207,0.7397,0.86141,1.13104,0.76424,0.70988,0.78782,0.59917,0.91059,0.95336,1.18813,0.000544365,0.000544365,0.000544365
37,344.369,0.703,0.80383,1.1077,0.81684,0.70634,0.80142,0.60473,0.89916,0.93013,1.1643,0.000536119,0.000536119,0.000536119
38,353.685,0.70688,0.80552,1.10342,0.74381,0.71426,0.76436,0.58425,0.87008,0.96723,1.13293,0.000527872,0.000527872,0.000527872
39,362.985,0.69667,0.78737,1.10055,0.8153,0.68181,0.78946,0.60266,0.88862,0.98255,1.16028,0.000519625,0.000519625,0.000519625
40,372.301,0.71374,0.78729,1.11411,0.76725,0.75293,0.81583,0.62129,0.86934,0.9296,1.14942,0.000511379,0.000511379,0.000511379
41,381.436,0.73475,0.79348,1.1261,0.81611,0.72168,0.79114,0.59611,0.90923,0.9008,1.15043,0.000503132,0.000503132,0.000503132
42,390.517,0.67706,0.74829,1.08655,0.80693,0.77871,0.8304,0.64729,0.8687,0.83615,1.13374,0.000494885,0.000494885,0.000494885
43,399.65,0.67708,0.74201,1.09039,0.73437,0.75055,0.78344,0.6047,0.89114,1.0203,1.15539,0.000486639,0.000486639,0.000486639
44,408.904,0.69692,0.72627,1.09468,0.84278,0.75977,0.8402,0.65234,0.86721,0.82731,1.13291,0.000478392,0.000478392,0.000478392
45,418.159,0.68728,0.74788,1.09685,0.78226,0.7326,0.81046,0.62491,0.8767,0.89189,1.14488,0.000470145,0.000470145,0.000470145
46,427.349,0.65404,0.71679,1.07637,0.7839,0.70521,0.81289,0.62346,0.85238,0.86764,1.12761,0.000461898,0.000461898,0.000461898
47,436.531,0.67449,0.72275,1.08162,0.81069,0.71705,0.80462,0.61487,0.87372,0.89034,1.14775,0.000453652,0.000453652,0.000453652
48,445.681,0.65167,0.70287,1.07412,0.83319,0.73523,0.82706,0.64843,0.84844,0.85391,1.13947,0.000445405,0.000445405,0.000445405
49,454.847,0.67152,0.70585,1.09102,0.75514,0.77393,0.81743,0.63518,0.83347,0.83311,1.12888,0.000437158,0.000437158,0.000437158
50,464.047,0.65681,0.69189,1.0824,0.78252,0.75798,0.83091,0.64624,0.86595,0.86871,1.14611,0.000428912,0.000428912,0.000428912
51,473.33,0.63587,0.65648,1.06364,0.86553,0.74146,0.83121,0.6322,0.87365,0.85803,1.14081,0.000420665,0.000420665,0.000420665
52,482.567,0.63359,0.66764,1.06646,0.79403,0.7624,0.84058,0.65381,0.84119,0.84523,1.12605,0.000412418,0.000412418,0.000412418
53,491.795,0.65099,0.66439,1.07863,0.8111,0.74735,0.82759,0.64114,0.85836,0.83759,1.13525,0.000404172,0.000404172,0.000404172
54,500.977,0.63795,0.6595,1.05579,0.80987,0.74514,0.83342,0.64644,0.8577,0.84437,1.13269,0.000395925,0.000395925,0.000395925
55,510.162,0.63283,0.6726,1.06985,0.84344,0.70788,0.82518,0.64393,0.82952,0.82314,1.11582,0.000387678,0.000387678,0.000387678
56,519.378,0.63487,0.66047,1.07129,0.80172,0.75978,0.83767,0.65881,0.82561,0.80756,1.11371,0.000379431,0.000379431,0.000379431
57,528.628,0.62241,0.62835,1.05135,0.78942,0.75989,0.81963,0.64438,0.83569,0.84881,1.12779,0.000371185,0.000371185,0.000371185
58,537.877,0.62715,0.61612,1.05825,0.81543,0.75116,0.84947,0.66671,0.85476,0.78724,1.12746,0.000362938,0.000362938,0.000362938
59,547.06,0.62193,0.63783,1.05756,0.83109,0.80815,0.8635,0.66797,0.83499,0.7344,1.14486,0.000354691,0.000354691,0.000354691
60,556.227,0.61482,0.60895,1.04842,0.8351,0.7447,0.83501,0.65415,0.8472,0.78702,1.11525,0.000346445,0.000346445,0.000346445
61,565.361,0.60766,0.60498,1.04384,0.7827,0.76454,0.8299,0.64405,0.83097,0.82892,1.1153,0.000338198,0.000338198,0.000338198
62,574.436,0.61268,0.61972,1.04367,0.81954,0.75573,0.84484,0.65571,0.84689,0.79356,1.12141,0.000329951,0.000329951,0.000329951
63,583.558,0.59157,0.5837,1.04095,0.83116,0.76628,0.84018,0.65595,0.86009,0.78393,1.1383,0.000321705,0.000321705,0.000321705
64,592.726,0.60205,0.59107,1.0406,0.78559,0.80807,0.85141,0.6654,0.81548,0.78898,1.10228,0.000313458,0.000313458,0.000313458
65,601.875,0.60253,0.57757,1.04818,0.7969,0.7751,0.84543,0.6665,0.80397,0.78216,1.07908,0.000305211,0.000305211,0.000305211
66,610.974,0.59187,0.57686,1.04848,0.83686,0.78128,0.84871,0.68373,0.79821,0.78309,1.07868,0.000296964,0.000296964,0.000296964
67,620.107,0.58657,0.56754,1.04283,0.77455,0.79868,0.84195,0.6655,0.79005,0.78197,1.07333,0.000288718,0.000288718,0.000288718
68,629.257,0.5792,0.56664,1.01904,0.84288,0.77068,0.85707,0.67484,0.79662,0.77449,1.09403,0.000280471,0.000280471,0.000280471
69,638.429,0.56339,0.55106,1.01608,0.82834,0.80266,0.84322,0.67388,0.789,0.79761,1.0857,0.000272224,0.000272224,0.000272224
70,647.556,0.59024,0.57875,1.02774,0.79364,0.79367,0.84102,0.66581,0.80792,0.77538,1.07399,0.000263978,0.000263978,0.000263978
71,656.706,0.56086,0.5428,1.01021,0.77634,0.78458,0.84322,0.66528,0.81357,0.79613,1.09694,0.000255731,0.000255731,0.000255731
72,665.84,0.5624,0.54964,1.02078,0.86538,0.73855,0.84182,0.67247,0.79804,0.77315,1.09714,0.000247484,0.000247484,0.000247484
73,674.988,0.57209,0.55412,1.01307,0.78788,0.80066,0.84769,0.66319,0.80118,0.78401,1.09806,0.000239238,0.000239238,0.000239238
74,684.105,0.57721,0.52678,1.02804,0.82233,0.76962,0.84753,0.68563,0.77093,0.74941,1.05792,0.000230991,0.000230991,0.000230991
75,693.288,0.57253,0.56893,1.0286,0.83425,0.79262,0.84801,0.686,0.77742,0.75498,1.06413,0.000222744,0.000222744,0.000222744
76,702.503,0.55364,0.52459,1.01192,0.85179,0.79884,0.87391,0.70378,0.77728,0.69326,1.07246,0.000214497,0.000214497,0.000214497
77,711.855,0.54728,0.52333,1.01434,0.90503,0.71626,0.85255,0.68326,0.77703,0.74823,1.0724,0.000206251,0.000206251,0.000206251
78,721.107,0.55524,0.50482,1.00534,0.81267,0.75625,0.84259,0.67859,0.78451,0.77739,1.07207,0.000198004,0.000198004,0.000198004
79,730.385,0.52769,0.4833,1.00293,0.83764,0.78112,0.85631,0.7001,0.77327,0.71373,1.05134,0.000189757,0.000189757,0.000189757
80,739.569,0.55595,0.50533,1.01336,0.81949,0.7518,0.83303,0.67795,0.78485,0.76506,1.07423,0.000181511,0.000181511,0.000181511
81,748.718,0.52327,0.52335,1.00607,0.83099,0.80099,0.85979,0.70472,0.7665,0.74016,1.05,0.000173264,0.000173264,0.000173264
82,757.805,0.53557,0.49521,1.01035,0.84441,0.77102,0.85721,0.70076,0.77689,0.75423,1.05728,0.000165017,0.000165017,0.000165017
83,767.021,0.52505,0.50266,1.00285,0.81244,0.80719,0.86007,0.69403,0.76506,0.74232,1.04854,0.000156771,0.000156771,0.000156771
84,776.217,0.5345,0.49954,1.00763,0.78641,0.82027,0.85714,0.69457,0.77981,0.74234,1.061,0.000148524,0.000148524,0.000148524
85,785.45,0.52733,0.48723,0.98983,0.82073,0.76318,0.84938,0.69421,0.77348,0.7431,1.06032,0.000140277,0.000140277,0.000140277
86,794.607,0.50987,0.47869,0.99214,0.85473,0.76526,0.86175,0.70647,0.7577,0.72506,1.04847,0.000132031,0.000132031,0.000132031
87,803.799,0.50846,0.4703,0.99594,0.84816,0.7682,0.87198,0.71223,0.75772,0.70454,1.06317,0.000123784,0.000123784,0.000123784
88,812.965,0.5151,0.46588,0.9874,0.86377,0.77195,0.87975,0.71368,0.75964,0.70911,1.04628,0.000115537,0.000115537,0.000115537
89,822.132,0.5201,0.492,1.00721,0.87921,0.75493,0.86136,0.69106,0.77219,0.74554,1.04929,0.00010729,0.00010729,0.00010729
90,831.331,0.50472,0.45465,0.98511,0.84722,0.79261,0.86808,0.70634,0.75899,0.71788,1.04483,9.90437e-05,9.90437e-05,9.90437e-05
91,856.364,0.44564,0.41533,0.92631,0.89559,0.76377,0.86937,0.70627,0.78877,0.72071,1.07072,9.0797e-05,9.0797e-05,9.0797e-05
92,865.498,0.44116,0.37435,0.92197,0.82665,0.7973,0.86652,0.71243,0.75769,0.70711,1.04685,8.25503e-05,8.25503e-05,8.25503e-05
93,874.648,0.43959,0.35638,0.91405,0.84292,0.79444,0.86683,0.70704,0.76008,0.71578,1.04389,7.43036e-05,7.43036e-05,7.43036e-05
94,883.762,0.4218,0.35875,0.9152,0.8829,0.76905,0.87426,0.70692,0.75801,0.71671,1.04848,6.60569e-05,6.60569e-05,6.60569e-05
95,892.899,0.42959,0.35496,0.90977,0.88135,0.77843,0.87092,0.7131,0.7627,0.7224,1.05,5.78102e-05,5.78102e-05,5.78102e-05
96,902.16,0.42543,0.34197,0.9071,0.862,0.78726,0.86856,0.71235,0.76016,0.73324,1.04859,4.95635e-05,4.95635e-05,4.95635e-05
97,911.283,0.42333,0.34377,0.90677,0.85285,0.79447,0.86943,0.71736,0.7608,0.72562,1.04838,4.13168e-05,4.13168e-05,4.13168e-05
98,920.344,0.4128,0.3382,0.90877,0.86685,0.79099,0.87277,0.72134,0.75222,0.71434,1.04479,3.30701e-05,3.30701e-05,3.30701e-05
99,929.454,0.40579,0.33679,0.90641,0.85252,0.79204,0.87258,0.72186,0.74581,0.71601,1.03786,2.48234e-05,2.48234e-05,2.48234e-05
100,938.507,0.4142,0.34746,0.90998,0.85782,0.79049,0.87214,0.72256,0.74556,0.71693,1.03662,1.65767e-05,1.65767e-05,1.65767e-05
