epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7829,0.86785,3.43912,1.24324,0.86176,0.05496,0.26042,0.19656,0.87092,3.17377,1.14417,0.000273115,0.000273115,0.000273115
2,27.17,0.93466,2.40311,1.262,0.39786,0.37373,0.35525,0.24281,1.01211,2.14965,1.2715,0.000545329,0.000545329,0.000545329
3,38.4143,0.96613,2.02087,1.27076,0.28096,0.40941,0.29996,0.17831,1.24121,2.56357,1.55713,0.000812045,0.000812045,0.000812045
4,49.6095,0.99029,1.9231,1.29387,0.4285,0.28248,0.26202,0.16412,1.20044,2.46232,1.49366,0.00080826,0.00080826,0.00080826
5,60.8256,0.96781,1.8201,1.28021,0.45083,0.38475,0.36172,0.23893,1.10397,2.08207,1.39841,0.000800013,0.000800013,0.000800013
6,72.057,0.95119,1.7232,1.25255,0.61678,0.39747,0.44245,0.28702,1.17742,1.68854,1.39849,0.000791767,0.000791767,0.000791767
7,83.2591,0.92986,1.60289,1.236,0.5452,0.54579,0.57321,0.40691,1.0535,1.46138,1.32947,0.00078352,0.00078352,0.00078352
8,94.3379,0.93601,1.53856,1.25646,0.62791,0.50744,0.56827,0.38813,1.05539,1.65467,1.31832,0.000775273,0.000775273,0.000775273
9,105.406,0.90794,1.44862,1.23019,0.70065,0.61142,0.66597,0.48253,1.01139,1.36337,1.2789,0.000767026,0.000767026,0.000767026
10,116.581,0.87942,1.37756,1.21196,0.65412,0.60702,0.63295,0.45264,0.95978,1.33905,1.23317,0.00075878,0.00075878,0.00075878
11,127.661,0.86984,1.37732,1.2038,0.59929,0.53842,0.5863,0.407,1.03537,1.41277,1.33524,0.000750533,0.000750533,0.000750533
12,138.76,0.83856,1.2858,1.18085,0.77031,0.5609,0.67812,0.49095,0.99539,1.24565,1.23186,0.000742286,0.000742286,0.000742286
13,149.89,0.87131,1.259,1.19082,0.61949,0.64214,0.66714,0.46044,0.99324,1.26629,1.24178,0.00073404,0.00073404,0.00073404
14,161.057,0.85063,1.22633,1.18246,0.60496,0.6551,0.62783,0.42568,1.02349,1.33073,1.30638,0.000725793,0.000725793,0.000725793
15,172.281,0.82406,1.18562,1.17253,0.68037,0.59814,0.65358,0.48993,0.9246,1.25836,1.20153,0.000717546,0.000717546,0.000717546
16,183.423,0.81753,1.16002,1.15992,0.7089,0.64026,0.72603,0.54098,0.90497,1.09659,1.17697,0.000709299,0.000709299,0.000709299
17,194.582,0.81045,1.11542,1.14932,0.6719,0.6447,0.68889,0.50162,0.95257,1.12123,1.23195,0.000701053,0.000701053,0.000701053
18,207.566,0.82304,1.09217,1.1577,0.84445,0.64046,0.75167,0.58356,0.86368,1.01906,1.13276,0.000692806,0.000692806,0.000692806
19,221.6,0.77837,1.05139,1.14868,0.69877,0.68734,0.7535,0.55006,0.94127,1.07161,1.21955,0.000684559,0.000684559,0.000684559
20,235.492,0.81741,1.06128,1.16113,0.80341,0.62066,0.72718,0.50734,1.05289,1.12988,1.33033,0.000676313,0.000676313,0.000676313
21,249.388,0.78758,1.01054,1.15003,0.71308,0.673,0.74244,0.56554,0.87659,1.10056,1.14866,0.000668066,0.000668066,0.000668066
22,263.649,0.7662,0.99988,1.13583,0.75996,0.75153,0.79054,0.58483,0.90819,0.98354,1.16763,0.000659819,0.000659819,0.000659819
23,277.881,0.74925,0.96274,1.10971,0.73276,0.72346,0.77807,0.57827,0.87681,0.95701,1.16766,0.000651573,0.000651573,0.000651573
24,292.162,0.75258,0.93683,1.12434,0.67473,0.72148,0.76042,0.55843,0.93642,1.06605,1.23621,0.000643326,0.000643326,0.000643326
25,306.259,0.7735,0.95272,1.13608,0.75987,0.68169,0.76616,0.58429,0.86719,0.99036,1.16129,0.000635079,0.000635079,0.000635079
26,320.518,0.74735,0.9238,1.11962,0.79999,0.71192,0.78251,0.5559,0.93385,0.985,1.21508,0.000626832,0.000626832,0.000626832
27,334.689,0.74668,0.87696,1.1037,0.73451,0.69328,0.75632,0.56213,0.86934,1.016,1.14195,0.000618586,0.000618586,0.000618586
